Movie Name,Rank,Year,Rating,Tagline,Movie Budget,Gross Budget
Spotlight (2015) ,9,2015,8.1,Break the story. Break the silence.                ,20000000,98690254
Room (2015) ,10,2015,8.1,Love knows no boundaries                ,13000000,35401758
Inside Out (2015) ,11,2015,8.1,Meet the little voices inside your head.                ,175000000,858071350
Cartel Land (2015) ,12,2015,7.4,N/A,,1145923
Mission: Impossible - Rogue Nation (2015) ,13,2015,7.4,Go rogue                ,150000000,682716636
Creed (2015) ,14,2015,7.6,Your legacy is more than a name,35000000,173567581
Beasts of No Nation (2015) ,15,2015,7.7,Child. Captive. Killer.,6000000,90777
The Hateful Eight (2015) ,16,2015,7.8,The 8th film by Quentin Tarantino                ,44000000,155762510
Mustang (2015) ,17,2015,7.6,Their spirit would never be broken,EUR1300000,5274664
The Falling (2014) ,18,2015,5.4,N/A,GBP750000,569498
The Final Girls (2015) ,19,2015,6.6,Who will survive?,4500000,
Mississippi Grind (2015) ,20,2015,6.4,We can't lose.,6000000,422746
Steve Jobs (2015) ,21,2015,7.2,Can a great man be a good man?,30000000,34441873
Carol (2015) ,22,2015,7.2,Some people change your life forever,11800000,40272135
99 Homes (2014) ,23,2015,7.1,Inspired by true events.                ,8000000,1828232
Man Up (2015) ,24,2015,6.8,Giving love a chance starts with taking one.                ,,2950880
Victoria (2015) ,25,2015,7.6,One Girl. One City. One Night. One Take.,,3192275
Southpaw (2015) ,26,2015,7.4,His left is his strongest weapon.                ,30000000,91970827
Kingsman: The Secret Service (2014) ,27,2015,7.7,Manners maketh man.,81000000,414351546
Straight Outta Compton (2015) ,28,2015,7.8,The group that defined a generation becomes a movie of our time.                ,28000000,201634991
The Stanford Prison Experiment (2015) ,29,2015,6.9,They were given 2 weeks. It lasted 6 days.,,663114
Mistress America (2015) ,30,2015,6.7,from strangers to sisters.,,3340737
Goodnight Mommy (2014) ,31,2015,6.7,A mother should look out for her sons.,,2193474
Sleeping with Other People (2015) ,32,2015,6.5,a romantic comedy with commitment issues,,3224947
The Assassin (2015) ,33,2015,6.3,N/A,15000000,11991669
Star Wars: Episode VII - The Force Awakens (2015) ,34,2015,7.9,Coming to your galaxy this winter.                ,245000000,2068454133
Ex Machina (2014) ,35,2015,7.7,To erase the line between man and machine is to obscure the line between men and gods                ,15000000,36869414
De Palma (2015) ,36,2015,7.4,Being a director is being a watcher,,168045
Avengers: Age of Ultron (2015) ,37,2015,7.3,A new age begins,250000000,1402809540
Shaun the Sheep Movie (2015) ,38,2015,7.3,Moving on to pastures new                ,25000000,106209378
Cop Car (2015) ,39,2015,6.3,The ride is just getting started.                ,800000,143658
Black Mass (2015) ,40,2015,6.9,Based on the true story of one of the most notorious gangsters in U.S. history                ,53000000,99775678
Tangerine (2015) ,41,2015,7.1,N/A,100000,828874
Clouds of Sils Maria (2014) ,42,2015,6.7,N/A,,4728401
Grandma (2015) ,43,2015,6.7,N/A,600000,7205073
Cinderella (2015) ,44,2015,6.9,Midnight is just the beginning.,95000000,542358331
The Lobster (2015) ,45,2015,7.2,An unconventional love story by Yorgos Lanthimos.,EUR4000000,15456717
What We Do in the Shadows (2014) ,46,2015,7.7,Some interviews with some vampires.,1600000,7253160
Paddington (2014) ,47,2015,7.2,Meet Mrs. Brown                ,55000000,282377683
Bone Tomahawk (2015) ,48,2015,7.1,Chicory: The back-up deputy                ,1800000,382579
The Man from U.N.C.L.E. (2015) ,49,2015,7.3,A higher class of hero                ,75000000,107045109
Take Me to the River (2015) ,50,2015,6.2,N/A,,
